Six simple tips for women looking to lose weight in the new year,2020-01-06T10:00:07+05:30,Lifestyle Desk,"calorie, gymming, New Year, weight loss",https://indianexpress.com/article/lifestyle/fitness/weight-loss-tips-rakesh-udiyar-new-year-fitness-goals-6196537/
"Golden Globes 2020: Phoebe Waller-Bridge, Russell Crowe win big in TV category",2020-01-06T10:43:37+05:30,AP,Golden Globe Awards,https://indianexpress.com/article/entertainment/hollywood/russell-crowe-phoebe-waller-bridge-win-golden-globes-for-tv-6201895/
"Lunar Eclipse 2020 Date, Timings: The first lunar eclipse of 2020 is coming up this week",2020-01-06T12:41:19+05:30,Tech Desk,lunar eclipse,https://indianexpress.com/article/technology/science/lunar-eclipse-2020-date-timings-jan-10-wolf-moon-penumbral-timings-india-visibility-6201844/
"Market Today LIVE Updates: Sensex extends losses, slips over 500 points, Nifty dips below 12,100 amid geopolitical tensions","January 6, 2020 12:45:28 pm",Express Web Desk,"BSE Sensex, commodity prices, crude oil price, diesel price, gold price, Indian stock market, markets, NSE Nifty, Petrol price, rupee, silver price",https://indianexpress.com/article/business/market/share-commodity-rupee-market-live-updates-bse-sensex-nse-nifty-crude-oil-gold-silver-petrol-diesel-prices-6201849/
How to know if you are just anxious or having a panic attack?,2020-01-06T09:11:10+05:30,Lifestyle Desk,"Anxiety, anxiety disorder, mental health, panic, stress",https://indianexpress.com/article/lifestyle/health/how-to-know-if-you-are-just-anxious-or-having-a-panic-attack-6196620/
Golden Globes 2020: Ellen DeGeneres bestowed with Carol Burnett Award,2020-01-06T08:59:54+05:30,AP,"ellen degeneres, Golden Globes",https://indianexpress.com/article/entertainment/hollywood/golden-globes-2020-ellen-degeneres-television-special-award-speech-6201799/
Mike Pompeo warns Iran that US could attack if Tehran retaliates,2020-01-06T09:09:17+05:30,New York Times,"donald trump, Iran, Mike Pompeo, Qassem Soleimani, Tehran, United States",https://indianexpress.com/article/world/mike-pompeo-warns-iran-that-u-s-could-attack-if-tehran-retaliates-qassem-solemani-killing-6201715/
"Explained: Who are the Al Shabaab, and what is their quarrel with the US in Kenya?",2020-01-06T08:47:21+05:30,Explained Desk,,https://indianexpress.com/article/explained/explained-who-are-the-al-shabaab-and-what-is-their-quarrel-with-the-us-in-kenya-6201774/
Australia races to evacuate stranded as bushfires take a breather,2020-01-06T08:28:44+05:30,Reuters,Australia,https://indianexpress.com/article/world/australia-races-to-evacuate-stranded-as-bushfires-take-a-breather-6201630/
"Venezuela’s Nicolas Maduro claims control of National Assembly, fortifying power",2020-01-06T08:28:31+05:30,New York Times,"Nicolas Maduro, Venezuela",https://indianexpress.com/article/world/venezuelas-nicolas-maduro-claims-control-of-national-assembly-fortifying-power-6201740/
Donald Trump reiterates threat to target Iranian cultural sites,2020-01-06T08:25:22+05:30,New York Times,"donald trump, Iran",https://indianexpress.com/article/world/donald-trump-reiterates-threat-to-target-iranian-cultural-sites-6201726/
Golden Globes 2020: Priyanka Chopra Jonas looks stunning on the red carpet,2020-01-06T10:07:52+05:30,Lifestyle Desk,"Golden Globes awards, jennifer aniston, jennifer lopez, Priyanka Chopra, red carpet fashion",https://indianexpress.com/article/lifestyle/fashion/golden-globes-2020-priyanka-chopra-jonas-latest-photos-jennifer-lopez-jennifer-aniston-the-red-carpet-6201700/
It’s not just software. New safety risks under scrutiny on Boeing’s 737 Max.,2020-01-06T08:13:40+05:30,New York Times,"Boeing, Boeing 737 Max",https://indianexpress.com/article/business/aviation/its-not-just-software-new-safety-risks-under-scrutiny-on-boeings-737-max-6201736/
"If two people have to be together, they also need to adjust: Deepika Padukone",2020-01-06T07:45:58+05:30,Lifestyle Desk,"Deepika Padukone, Deepika Padukone birthday, Life Positive, relationships",https://indianexpress.com/article/lifestyle/life-positive/deepika-padukone-birthday-relationships-simi-garewal-inspiring-talk-6200804/
JNU violence LIVE updates: DCW chief summons Delhi cops over assault on female students,"January 6, 2020 12:57:14 pm",Express Web Desk,"ABVP, aide Amit Shah, Arvind Kejriwal, Delhi Police, Jawaharlal Nehru University",https://indianexpress.com/article/cities/delhi/jnu-violence-live-updates-abvp-delhi-police-amit-shah-bjp-congress-aap-protests-6201667/
Golden Globes 2020 winners LIVE UPDATES,"January 6, 2020 10:11:48 am",Entertainment Desk,Golden Globes,https://indianexpress.com/article/entertainment/hollywood/golden-globe-2020-winners-list-live-updates-6201650/
